ID,Richness,year
2_487902,7,2008
2_487902,6,2011
2_487902,7,2014
2_487903,2,2004
2_487903,2,2006
2_487903,1,2007
2_487903,1,2008
2_487904,5,2004
2_487904,4,2005
2_487904,5,2006
2_487904,3,2007
2_487904,5,2008
2_487905,4,2004
2_487905,8,2005
2_487905,3,2006
2_487905,3,2007
2_487905,3,2008
2_487906,1,2004
2_487906,3,2005
2_487906,2,2006
2_487906,3,2007
2_487906,3,2008
2_487907,0,2004
2_487907,1,2005
2_487907,0,2006
2_487907,0,2007
2_487907,0,2008
2_487908,1,2004
2_487908,1,2005
2_487908,0,2006
2_487908,2,2007
2_487908,1,2008
2_487909,0,2004
2_487909,1,2005
2_487909,0,2006
2_487909,0,2007
2_487909,0,2008
2_487910,4,2004
2_487910,5,2005
2_487910,2,2006
2_487911,0,2004
2_487911,0,2005
2_487911,1,2006
2_487911,3,2007
2_487911,0,2008
2_487912,10,2004
2_487912,8,2005
2_487912,7,2006
2_487912,8,2007
2_487912,11,2008
2_487913,5,2004
2_487913,6,2005
2_487913,4,2006
2_487913,5,2007
2_487913,7,2008
2_487913,9,2011
2_487913,7,2014
2_487914,10,2004
2_487914,1,2005
2_487914,4,2006
2_487914,3,2007
2_487914,0,2008
2_487915,5,2004
2_487915,5,2005
2_487915,5,2006
2_487915,4,2007
2_487915,4,2008
2_487915,5,2011
2_487915,4,2014
2_487916,4,2004
2_487916,6,2005
2_487916,6,2006
2_487916,4,2007
2_487916,5,2008
2_487917,4,2005
2_487917,0,2007
2_487917,4,2008
2_487917,8,2011
2_487917,7,2014
2_487918,3,2005
2_487918,4,2007
2_487918,7,2008
2_487919,4,2005
2_487919,4,2007
2_487919,4,2008
2_487919,5,2011
2_487919,4,2014
2_487920,0,2004
2_487920,2,2005
2_487920,1,2006
2_487920,2,2007
2_487920,0,2008
2_487921,5,2004
2_487921,5,2005
2_487921,5,2006
2_487921,5,2007
2_487921,5,2008
2_487921,6,2011
2_487921,5,2014
2_487922,2,2004
2_487922,3,2005
2_487922,3,2007
2_487922,3,2008
2_487922,6,2011
2_487922,4,2014
2_487923,2,2004
2_487923,3,2005
2_487924,4,2004
2_487924,4,2005
2_487924,4,2006
2_487924,4,2007
2_487924,6,2008
2_487925,6,2004
2_487925,4,2005
2_487925,4,2006
2_487925,4,2007
2_487925,4,2008
2_487926,4,2004
2_487926,2,2005
2_487926,3,2006
2_487926,1,2007
2_487926,1,2008
2_487927,0,2004
2_487927,0,2005
2_487927,0,2006
2_487927,1,2007
2_487927,0,2008
2_487928,1,2004
2_487928,2,2005
2_487928,4,2006
2_487928,3,2007
2_487928,8,2008
2_487929,4,2004
2_487929,5,2005
2_487929,5,2006
2_487929,6,2007
2_487929,7,2008
2_487929,5,2011
2_487929,9,2014
2_487930,4,2004
2_487930,4,2005
2_487930,5,2006
2_487930,3,2007
2_487930,3,2008
2_487931,1,2004
2_487931,0,2005
2_487931,1,2007
2_487931,0,2008
2_487932,0,2004
2_487932,0,2005
2_487932,0,2006
2_487932,0,2007
2_487932,0,2008
2_487933,1,2004
2_487933,2,2006
2_487933,3,2007
2_487933,3,2008
2_487934,2,2004
2_487934,0,2006
2_487934,1,2007
2_487934,0,2008
2_487935,2,2004
2_487935,6,2005
2_487935,3,2007
2_487935,3,2008
2_487936,6,2004
2_487936,2,2005
2_487936,3,2006
2_487936,4,2007
2_487936,6,2008
2_487937,3,2004
2_487937,3,2005
2_487937,4,2007
2_487937,3,2008
2_487938,3,2004
2_487938,2,2005
2_487938,1,2006
2_487938,2,2007
2_487938,0,2008
2_487939,4,2004
2_487939,5,2005
2_487939,3,2007
2_487939,5,2008
2_487939,9,2011
2_487939,6,2014
2_487940,1,2004
2_487940,0,2005
2_487940,0,2006
2_487940,2,2007
2_487940,0,2008
2_487941,4,2004
2_487941,1,2005
2_487941,3,2006
2_487941,1,2007
2_487941,4,2008
2_487942,3,2004
2_487942,2,2005
2_487942,3,2007
2_487942,1,2008
3_487943,10,2004
3_487943,16,2005
3_487943,18,2007
3_487944,15,2004
3_487944,17,2005
3_487944,16,2006
3_487944,15,2007
3_487944,11,2008
3_487945,13,2004
3_487945,19,2005
3_487945,15,2006
3_487945,19,2007
3_487945,11,2008
3_487945,20,2010
3_487945,22,2011
3_487945,19,2014
3_487946,11,2004
3_487946,20,2005
3_487946,17,2006
3_487946,12,2007
3_487946,12,2008
3_487947,12,2004
3_487947,7,2005
3_487947,12,2006
3_487947,6,2007
3_487947,5,2008
3_487948,12,2004
3_487948,17,2005
3_487948,18,2006
3_487948,10,2007
3_487948,12,2008
3_487949,13,2004
3_487949,18,2005
3_487949,19,2006
3_487949,19,2007
3_487949,14,2008
3_487950,18,2005
3_487950,19,2006
3_487950,16,2007
3_487950,18,2008
3_487951,22,2004
3_487951,22,2005
3_487951,15,2006
3_487951,12,2007
3_487951,19,2008
3_487952,16,2004
3_487952,12,2005
3_487952,16,2006
3_487952,11,2007
3_487952,11,2008
3_487953,18,2004
3_487953,16,2005
3_487953,15,2006
3_487953,18,2007
3_487953,12,2008
3_487954,14,2004
3_487954,10,2005
3_487954,12,2006
3_487954,12,2007
3_487954,8,2008
3_487955,14,2005
3_487955,14,2006
3_487955,14,2007
3_487955,11,2008
3_487955,19,2010
3_487955,17,2011
3_487955,11,2014
3_487956,15,2004
3_487956,16,2005
3_487956,14,2006
3_487956,15,2007
3_487956,9,2008
3_487956,11,2010
3_487956,18,2011
3_487956,19,2014
3_487957,11,2004
3_487957,14,2005
3_487957,18,2006
3_487957,16,2007
3_487957,16,2008
3_487957,18,2010
3_487957,22,2011
3_487957,19,2014
3_487958,11,2004
3_487958,8,2005
3_487958,12,2006
3_487958,8,2007
3_487958,8,2008
3_487959,9,2004
3_487959,12,2005
3_487959,8,2006
3_487959,7,2007
3_487959,6,2008
3_487960,4,2004
3_487960,3,2005
3_487960,2,2006
3_487960,2,2007
3_487960,2,2008
3_487961,5,2004
3_487961,8,2005
3_487961,12,2006
3_487961,6,2007
3_487961,12,2008
3_487962,26,2004
3_487962,22,2005
3_487962,41,2006
3_487962,32,2007
3_487962,20,2008
3_487963,13,2004
3_487963,17,2005
3_487963,13,2006
3_487963,10,2007
3_487963,12,2008
3_487963,13,2010
3_487963,19,2011
3_487963,11,2014
3_487964,9,2004
3_487964,16,2005
3_487964,15,2008
3_487965,0,2004
3_487965,0,2007
3_487965,1,2008
3_487966,12,2004
3_487966,18,2005
3_487966,24,2006
3_487966,16,2007
3_487966,20,2008
3_487967,1,2004
3_487967,6,2005
3_487967,6,2006
3_487967,9,2007
3_487968,9,2004
3_487968,10,2005
3_487968,17,2006
3_487968,8,2007
3_487968,15,2008
3_487969,10,2004
3_487969,11,2005
3_487969,9,2006
3_487969,9,2007
3_487969,6,2008
3_487969,10,2010
3_487969,16,2011
3_487969,8,2014
3_487970,11,2004
3_487970,6,2005
3_487970,10,2006
3_487970,9,2007
3_487970,11,2008
3_487971,10,2004
3_487971,6,2005
3_487971,14,2006
3_487971,16,2007
3_487971,11,2008
3_487972,12,2004
3_487972,20,2005
3_487972,18,2006
3_487972,21,2007
3_487972,15,2008
3_487972,21,2010
3_487972,16,2011
3_487972,19,2014
3_487973,0,2004
3_487973,2,2007
3_487973,0,2008
3_487974,12,2004
3_487974,12,2005
3_487974,16,2006
3_487974,7,2007
3_487974,11,2008
3_487975,20,2004
3_487975,21,2005
3_487975,16,2006
3_487975,26,2007
3_487975,15,2008
3_487976,6,2004
3_487976,4,2005
3_487976,3,2006
3_487976,4,2007
3_487976,19,2014
3_487977,6,2004
3_487977,7,2005
3_487977,12,2006
3_487977,10,2007
3_487977,11,2008
3_487977,14,2010
3_487977,15,2011
3_487978,12,2004
3_487978,13,2005
3_487978,10,2006
3_487978,12,2007
3_487978,13,2008
3_487978,14,2010
3_487978,15,2011
3_487978,16,2014
3_487979,12,2004
3_487979,18,2005
3_487979,18,2006
3_487979,17,2007
3_487979,15,2008
3_487980,11,2004
3_487980,10,2005
3_487980,13,2006
3_487980,11,2007
3_487980,11,2008
3_487980,12,2010
3_487980,15,2011
3_487980,10,2014
3_487981,12,2004
3_487981,14,2005
3_487981,15,2006
3_487981,12,2007
3_487981,7,2008
3_487982,10,2005
3_487982,30,2006
3_487982,23,2007
3_487982,19,2008
3_539687,11,2007
3_539687,12,2008
4_487983,6,2004
4_487983,7,2005
4_487983,6,2006
4_487983,7,2007
4_487983,6,2008
4_487983,5,2011
4_487983,6,2014
4_487984,3,2004
4_487984,4,2005
4_487984,6,2006
4_487984,3,2007
4_487984,5,2008
4_487985,6,2004
4_487985,8,2005
4_487985,9,2006
4_487985,8,2007
4_487985,6,2008
4_487986,8,2004
4_487986,8,2005
4_487986,8,2006
4_487986,8,2007
4_487986,6,2008
4_487987,6,2004
4_487987,5,2005
4_487987,5,2006
4_487987,5,2007
4_487987,4,2008
4_487987,7,2011
4_487987,6,2014
4_487988,5,2004
4_487988,4,2005
4_487988,6,2006
4_487988,4,2007
4_487988,4,2008
4_487989,6,2004
4_487989,7,2005
4_487989,5,2006
4_487989,7,2007
4_487989,7,2008
4_487990,7,2004
4_487990,6,2005
4_487990,8,2006
4_487990,5,2007
4_487990,7,2008
4_487991,5,2004
4_487991,3,2005
4_487991,3,2006
4_487991,4,2007
4_487991,3,2008
4_487992,8,2004
4_487992,7,2005
4_487992,7,2006
4_487992,9,2007
4_487992,7,2008
4_487993,4,2004
4_487993,6,2005
4_487993,3,2006
4_487993,4,2007
4_487993,4,2008
4_487993,6,2011
4_487993,5,2014
4_487994,6,2004
4_487994,4,2005
4_487994,4,2006
4_487994,5,2007
4_487994,3,2008
4_487995,11,2004
4_487995,12,2005
4_487995,10,2006
4_487995,9,2007
4_487995,5,2008
4_487996,7,2004
4_487996,5,2005
4_487996,6,2006
4_487996,9,2007
4_487996,4,2008
4_487996,9,2011
4_487996,8,2014
4_487997,6,2004
4_487997,7,2005
4_487997,9,2006
4_487997,8,2007
4_487997,9,2008
4_487998,6,2004
4_487998,5,2005
4_487998,6,2006
4_487998,5,2007
4_487998,6,2008
4_487999,8,2004
4_487999,8,2005
4_487999,8,2006
4_487999,4,2007
4_488000,3,2004
4_488000,7,2005
4_488000,8,2006
4_488000,9,2007
4_488000,7,2008
4_488000,8,2011
4_488000,9,2014
4_488001,17,2004
4_488001,13,2005
4_488001,11,2006
4_488001,12,2007
4_488001,11,2008
4_488002,7,2004
4_488002,7,2005
4_488002,8,2006
4_488002,6,2007
4_488002,6,2008
4_488003,7,2004
4_488003,6,2005
4_488003,8,2006
4_488003,8,2007
4_488003,9,2008
4_488004,12,2004
4_488004,12,2005
4_488004,12,2006
4_488004,8,2007
4_488004,10,2008
4_488004,11,2011
4_488004,10,2014
4_488005,5,2004
4_488005,7,2005
4_488005,8,2006
4_488005,6,2007
4_488005,7,2008
4_488006,5,2004
4_488006,4,2005
4_488006,6,2006
4_488006,6,2007
4_488006,6,2008
4_488006,6,2011
4_488006,7,2014
4_488007,9,2004
4_488007,8,2005
4_488007,5,2006
4_488007,6,2007
4_488007,5,2008
4_488008,9,2004
4_488008,4,2005
4_488008,11,2006
4_488008,11,2007
4_488009,7,2004
4_488009,6,2005
4_488009,3,2006
4_488009,5,2007
4_488009,4,2008
4_488010,8,2004
4_488010,8,2005
4_488010,9,2006
4_488010,6,2007
4_488010,6,2008
4_488010,8,2011
4_488010,5,2014
4_488011,9,2004
4_488011,8,2005
4_488011,5,2006
4_488011,9,2007
4_488011,7,2008
4_488012,10,2004
4_488012,8,2005
4_488012,10,2006
4_488012,6,2007
4_488012,7,2008
4_488013,8,2004
4_488013,9,2005
4_488013,13,2006
4_488013,9,2007
4_488013,6,2008
4_488014,13,2004
4_488014,12,2005
4_488014,10,2006
4_488014,8,2007
4_488014,7,2008
4_488014,10,2011
4_488014,8,2014
4_488015,6,2004
4_488015,11,2005
4_488015,10,2006
4_488015,11,2007
4_488015,10,2008
4_488016,7,2004
4_488016,6,2005
4_488016,4,2006
4_488016,5,2007
4_488016,4,2008
4_488017,6,2004
4_488017,6,2005
4_488017,7,2006
4_488017,6,2007
4_488017,6,2008
4_488018,8,2004
4_488018,8,2005
4_488018,7,2006
4_488018,6,2007
4_488018,4,2008
4_488019,12,2004
4_488019,5,2005
4_488019,10,2006
4_488019,10,2007
4_488019,11,2008
4_488020,4,2004
4_488020,8,2005
4_488020,7,2006
4_488020,8,2007
4_488020,8,2008
4_488021,16,2004
4_488021,12,2005
4_488021,15,2006
4_488021,12,2007
4_488021,16,2011
4_488021,9,2014
4_488022,7,2004
4_488022,8,2005
4_488022,10,2006
4_488022,6,2007
4_488022,7,2008
5_488023,9,2004
5_488023,9,2005
5_488023,7,2006
5_488023,7,2007
5_488023,5,2008
5_488023,8,2011
5_488023,5,2014
5_488024,5,2004
5_488024,5,2005
5_488024,4,2006
5_488024,6,2007
5_488024,5,2008
5_488025,4,2004
5_488025,6,2005
5_488025,6,2006
5_488025,8,2007
5_488025,5,2008
5_488026,3,2004
5_488026,6,2005
5_488026,6,2006
5_488026,8,2007
5_488026,6,2008
5_488026,9,2011
5_488026,10,2014
5_488027,10,2004
5_488027,10,2005
5_488027,5,2006
5_488027,10,2007
5_488027,7,2008
5_488027,9,2011
5_488027,8,2014
5_488028,13,2004
5_488028,10,2005
5_488028,10,2006
5_488028,12,2007
5_488028,12,2008
5_488029,10,2004
5_488029,11,2005
5_488029,8,2006
5_488029,9,2007
5_488029,8,2008
5_488030,12,2004
5_488030,7,2005
5_488030,10,2006
5_488030,8,2007
5_488030,11,2008
5_488030,11,2011
5_488030,13,2014
5_488031,6,2004
5_488031,12,2005
5_488031,12,2006
5_488031,13,2007
5_488031,13,2008
5_488032,7,2005
5_488032,4,2006
5_488032,6,2007
5_488032,5,2008
5_488033,8,2005
5_488033,4,2006
5_488033,8,2007
5_488033,6,2008
5_488034,4,2005
5_488034,4,2006
5_488034,5,2007
5_488034,4,2008
5_488035,6,2005
5_488035,5,2006
5_488035,5,2007
5_488035,4,2008
5_488036,16,2005
5_488036,15,2006
5_488036,15,2007
5_488036,11,2008
5_488037,12,2005
5_488037,8,2006
5_488037,9,2007
5_488037,10,2008
5_488038,9,2005
5_488038,8,2006
5_488038,12,2007
5_488038,8,2008
5_488039,10,2005
5_488039,8,2006
5_488039,10,2007
5_488039,8,2008
5_488040,11,2005
5_488040,15,2006
5_488040,16,2007
5_488040,10,2008
5_488041,6,2004
5_488041,7,2005
5_488041,5,2006
5_488041,8,2007
5_488041,7,2008
5_488042,7,2005
5_488042,5,2006
5_488042,10,2007
5_488042,6,2008
5_488043,5,2005
5_488043,4,2006
5_488043,5,2007
5_488043,4,2008
5_488044,7,2005
5_488044,6,2006
5_488044,18,2007
5_488044,12,2008
5_488045,18,2004
5_488045,7,2005
5_488045,5,2006
5_488045,11,2007
5_488045,6,2008
5_488046,13,2004
5_488046,13,2005
5_488046,9,2006
5_488046,10,2007
5_488046,8,2008
5_488046,11,2011
5_488046,13,2014
5_488047,6,2004
5_488047,7,2005
5_488047,6,2006
5_488047,8,2007
5_488047,7,2008
5_488048,7,2004
5_488048,5,2005
5_488048,3,2006
5_488048,5,2007
5_488048,5,2008
5_488048,5,2011
5_488048,8,2014
5_488049,8,2004
5_488049,8,2005
5_488049,5,2006
5_488049,7,2007
5_488049,7,2008
5_488049,8,2011
5_488049,11,2014
5_488050,10,2004
5_488050,8,2005
5_488050,5,2006
5_488050,5,2007
5_488050,6,2008
5_488050,6,2011
5_488050,6,2014
5_488051,6,2004
5_488051,6,2005
5_488051,4,2006
5_488051,6,2007
5_488051,7,2008
5_488051,6,2011
5_488052,12,2004
5_488052,13,2005
5_488052,7,2006
5_488052,14,2007
5_488052,10,2008
5_488053,8,2004
5_488053,10,2005
5_488053,8,2006
5_488053,12,2007
5_488053,8,2008
5_488054,9,2004
5_488054,9,2005
5_488054,7,2006
5_488054,9,2007
5_488054,10,2008
5_488055,7,2004
5_488055,9,2005
5_488055,6,2006
5_488055,10,2007
5_488056,11,2004
5_488056,11,2005
5_488056,7,2006
5_488056,12,2007
5_488056,8,2008
5_488056,13,2011
5_488056,12,2014
5_488057,10,2004
5_488057,9,2005
5_488057,9,2006
5_488057,9,2007
5_488057,8,2008
5_488058,12,2004
5_488058,6,2005
5_488058,6,2006
5_488058,13,2007
5_488058,10,2008
5_533498,8,2007
5_533498,8,2008
5_533499,7,2007
5_533499,7,2008
5_533500,16,2007
5_533500,9,2008
5_533501,6,2007
5_533501,5,2008
6_488059,7,2004
6_488059,6,2005
6_488059,8,2006
6_488059,5,2007
6_488059,12,2008
6_488060,10,2004
6_488060,10,2006
6_488060,10,2007
6_488060,10,2008
6_488061,11,2004
6_488061,4,2005
6_488061,8,2006
6_488061,7,2007
6_488061,17,2008
6_488062,14,2004
6_488062,7,2005
6_488062,7,2006
6_488062,9,2007
6_488062,11,2008
6_488063,10,2004
6_488063,5,2005
6_488063,6,2006
6_488063,9,2007
6_488063,8,2008
6_488063,7,2011
6_488063,8,2014
6_488064,8,2004
6_488064,12,2005
6_488064,14,2006
6_488064,12,2007
6_488064,15,2008
6_488064,7,2011
6_488064,10,2014
6_488065,14,2004
6_488065,15,2005
6_488065,12,2006
6_488065,13,2007
6_488065,16,2008
6_488066,18,2004
6_488066,17,2005
6_488066,16,2006
6_488066,13,2007
6_488066,15,2008
6_488067,11,2004
6_488067,14,2005
6_488067,12,2006
6_488067,16,2007
6_488067,18,2008
6_488068,12,2004
6_488068,11,2005
6_488068,13,2006
6_488068,10,2007
6_488068,12,2008
6_488069,11,2004
6_488069,8,2005
6_488069,7,2006
6_488069,9,2007
6_488069,12,2008
6_488069,11,2011
6_488069,8,2014
6_488070,13,2004
6_488070,14,2005
6_488070,10,2006
6_488070,12,2007
6_488070,14,2008
6_488071,8,2004
6_488071,5,2005
6_488071,6,2006
6_488071,9,2007
6_488071,10,2008
6_488071,7,2011
6_488071,6,2014
6_488072,11,2004
6_488072,7,2005
6_488072,6,2006
6_488072,8,2007
6_488072,9,2008
6_488073,5,2004
6_488073,7,2005
6_488073,5,2006
6_488073,5,2007
6_488073,5,2008
6_488074,7,2004
6_488074,9,2005
6_488074,7,2006
6_488074,7,2007
6_488074,10,2008
6_488074,7,2011
6_488074,9,2014
6_488075,17,2004
6_488075,16,2005
6_488075,14,2006
6_488075,11,2007
6_488075,18,2008
6_488076,7,2004
6_488076,8,2005
6_488076,6,2006
6_488076,12,2007
6_488076,13,2008
6_488077,14,2004
6_488077,14,2005
6_488077,13,2006
6_488077,13,2007
6_488077,13,2008
6_488078,11,2004
6_488078,8,2005
6_488078,12,2006
6_488078,11,2007
6_488078,13,2008
6_488079,13,2004
6_488079,11,2005
6_488079,13,2006
6_488079,13,2007
6_488079,13,2008
6_488080,6,2004
6_488080,8,2005
6_488080,5,2006
6_488080,6,2007
6_488080,9,2008
6_488080,5,2011
6_488080,8,2014
6_488081,6,2004
6_488081,6,2005
6_488081,3,2006
6_488081,6,2007
6_488081,5,2008
6_488082,15,2004
6_488082,15,2006
6_488082,12,2007
6_488082,17,2008
6_488083,13,2004
6_488083,14,2005
6_488083,13,2006
6_488083,11,2007
6_488083,17,2008
6_488084,9,2004
6_488084,6,2005
6_488084,6,2006
6_488084,8,2007
6_488084,10,2008
6_488084,7,2011
6_488084,6,2014
6_488085,7,2004
6_488085,6,2005
6_488085,6,2006
6_488085,6,2007
6_488085,6,2008
6_488086,8,2004
6_488086,4,2005
6_488086,4,2006
6_488086,10,2007
6_488086,6,2008
6_488087,6,2004
6_488087,4,2005
6_488087,4,2006
6_488087,4,2007
6_488087,5,2008
6_488087,6,2011
6_488087,4,2014
6_488088,11,2004
6_488088,8,2005
6_488088,8,2006
6_488088,8,2007
6_488088,8,2008
6_488088,8,2011
6_488088,5,2014
6_488089,5,2004
6_488089,8,2005
6_488089,7,2006
6_488089,7,2007
6_488089,8,2008
6_488090,15,2004
6_488090,16,2005
6_488090,13,2006
6_488090,14,2007
6_488090,18,2008
6_488091,11,2004
6_488091,11,2005
6_488091,10,2006
6_488091,8,2007
6_488091,9,2008
6_488091,9,2011
6_488091,6,2014
6_488092,11,2004
6_488092,7,2005
6_488092,8,2006
6_488092,8,2007
6_488092,9,2008
6_488093,8,2004
6_488093,7,2005
6_488093,7,2006
6_488093,5,2007
6_488093,8,2008
6_488094,12,2004
6_488094,10,2006
6_488094,11,2007
6_488094,12,2008
6_488095,12,2004
6_488095,8,2005
6_488095,11,2006
6_488095,11,2007
6_488095,13,2008
6_488096,14,2004
6_488096,10,2005
6_488096,9,2006
6_488096,10,2007
6_488096,12,2008
6_488097,12,2004
6_488097,8,2005
6_488097,5,2006
6_488097,5,2007
6_488097,7,2008
6_488098,9,2004
6_488098,12,2005
6_488098,7,2006
6_488098,10,2007
6_488098,14,2008
